Date,Close,High,Low,Open,Volume
2025-01-10,9.344619750976562,9.528607607291246,9.286519003136467,9.363987282586418,73373400
2025-01-13,9.402721405029297,9.412405170816426,9.267151454493693,9.354303499588386,66023000
2025-01-14,9.470505714416504,9.509239853235385,9.373670829116655,9.470505714416504,45419900
2025-01-15,9.635126113891602,9.741645689133748,9.577025366936542,9.654493645206436,68674400
2025-01-16,9.693227767944336,9.741645672654796,9.577025350736063,9.596391958523414,45770000
2025-01-17,9.857848167419434,9.886898541076375,9.722278217862495,9.761012357236659,60802700
2025-01-21,10.099936485290527,10.1193030926855,9.915948635817413,9.974050304991739,65670800
2025-01-22,9.712594032287598,9.925632251383613,9.702911190483674,9.925632251383613,64949200
2025-01-23,9.838480949401855,9.848164715427567,9.65449401238713,9.731962293603305,56241100
2025-01-24,9.7997465133667,9.983734368329612,9.770696139660087,9.838480652807092,42909100
2025-01-27,10.051518440246582,10.090252577986668,9.78037947606598,9.790062317879984,73082600
2025-01-28,9.761012077331543,9.906264864945733,9.60607552427782,9.906264864945733,92177600
2025-01-29,9.886898040771484,9.9643663155997,9.712593960660659,9.780379393756359,69986900
2025-01-30,9.838480949401855,10.061202950519428,9.741646059629016,9.935316762669453,69663100
2025-01-31,9.761012077331543,10.022468203230726,9.673860035365148,9.848164119297937,103726200
2025-02-03,9.577025413513184,9.741645736511,9.296202672545393,9.412405090515369,131430300
2025-02-04,9.838480949401855,9.838480949401855,9.586708573701907,9.625442714309994,68716500
2025-02-05,9.693227767944336,9.993417114858694,9.644809863233874,9.838480558580997,124187800
2025-02-06,8.966961860656738,9.334936639167987,8.966961860656738,9.189682926771734,222758300
2025-02-07,8.94759464263916,9.054114220155293,8.889493894443762,9.034746688427,140852700
2025-02-10,8.94759464263916,9.0056963143293,8.831392222753621,8.957278408503308,72168000
2025-02-11,8.918543815612793,8.966961718979881,8.879809677618061,8.918543815612793,54844600
2025-02-12,8.937911033630371,8.996012706340164,8.812025769166212,8.879810284415337,67339600
2025-02-13,9.05411434173584,9.112215090711427,8.947594762789338,8.996012669265497,72059800
2025-02-14,9.179999351501465,9.209050648679629,9.09284823045116,9.13158236986065,53778300
2025-02-18,9.289999961853027,9.350000381469727,9.229999542236328,9.319999694824219,62175800
2025-02-19,9.34000015258789,9.390000343322754,9.210000038146973,9.270000457763672,50191700
2025-02-20,9.390000343322754,9.399999618530273,9.279999732971191,9.329999923706055,39787800
2025-02-21,9.279999732971191,9.40999984741211,9.229999542236328,9.380000114440918,58437700
2025-02-24,9.350000381469727,9.399999618530273,9.210000038146973,9.3100004196167,72562600
2025-02-25,9.420000076293945,9.489999771118164,9.3100004196167,9.369999885559082,88876800
2025-02-26,9.470000267028809,9.619999885559082,9.4399995803833,9.460000038146973,87948100
2025-02-27,9.289999961853027,9.529999732971191,9.289999961853027,9.4399995803833,70518800
2025-02-28,9.550000190734863,9.6899995803833,9.3100004196167,9.319999694824219,137992600
